dia,ano_referencia,mes_referencia,num_revisao,nom_semanaoperativa,cod_modelos,id_subsistema,nom_subsistema,nom_usina,val_cvu
2023-12-30,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2023-12-31,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2024-01-01,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2024-01-02,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2024-01-03,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2024-01-04,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2024-01-05,2024,1,0,PMO Janeiro 2024,241,NE,NORDESTE,PROSP_II,53.129
2023-12-30,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2023-12-31,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2024-01-01,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2024-01-02,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2024-01-03,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2024-01-04,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2024-01-05,2024,1,0,PMO Janeiro 2024,83,NE,NORDESTE,JS_PEREIRA,64.409
2023-12-30,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2023-12-31,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2024-01-01,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2024-01-02,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2024-01-03,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2024-01-04,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2024-01-05,2024,1,0,PMO Janeiro 2024,221,NE,NORDESTE,SYKUE I,72.874
2023-12-30,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2023-12-31,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2024-01-01,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2024-01-02,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2024-01-03,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2024-01-04,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2024-01-05,2024,1,0,PMO Janeiro 2024,58,NE,NORDESTE,TERMOCEARA,81.119
2023-12-30,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2023-12-31,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2024-01-01,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2024-01-02,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2024-01-03,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2024-01-04,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2024-01-05,2024,1,0,PMO Janeiro 2024,43,NE,NORDESTE,C.FURTADO,111.159
2023-12-30,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2023-12-31,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2024-01-01,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2024-01-02,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2024-01-03,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2024-01-04,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2024-01-05,2024,1,0,PMO Janeiro 2024,98,NE,NORDESTE,PERNAMBU_3,125.201
2023-12-30,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2023-12-31,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2024-01-01,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2024-01-02,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2024-01-03,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2024-01-04,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2024-01-05,2024,1,0,PMO Janeiro 2024,164,NE,NORDESTE,MURICY,141.351
2023-12-30,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2023-12-31,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2024-01-01,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2024-01-02,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2024-01-03,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2024-01-04,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2024-01-05,2024,1,0,PMO Janeiro 2024,112,NE,NORDESTE,BAHIA_1,141.38
2023-12-30,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2023-12-31,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2024-01-01,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2024-01-02,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
