dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;70;N;NORTE;GERAMAR2;145.771
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;106;NE;NORDESTE;ERB CANDEI;15.493
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;147;NE;NORDESTE;PROSPERIDA;29.221
